ligand_name,affinity
1c8k,-9.9
1dx6,-10.5
1htf,-9.9
1me7,-8.2
1nzq,-9.4
1o5p,-9.4
1rgk,-5.6
1ya4,-8.9
2a3b,-5.2
2ajb,-6.2
2bmz,-5.1
2gvf,-8.1
2is0,-11.5
2k62,-6.2
2r3l,-8.8
2uzn,-9.1
2v12,-8.6
2x24,-9.9
2x38,-10.2
2zu5,-6.4
3bc4,-5.7
3ce0,-9.0
3h23,-8.2
3ika,-8.4
3k16,-5.5
3m3o,-6.0
3mo0,-6.2
3ppo,-5.2
3q96,-14.3
3r7n,-7.1
3shb,-3.8
3sv7,-7.8
3txo,-9.3
3uw9,-6.3
3uwo,-11.2
4f9g,-10.9
4gfd,-9.6
4gvm,-8.5
4j8b,-5.0
4lgh,-9.4
4mxc,-13.0
4r8y,-10.1
4r95,-10.1
4ui4,-11.2
4xsy,-10.6
4z1s,-10.3
4zsq,-9.4
5a00,-11.6
5ald,-9.0
5ekn,-10.0
5em6,-8.2
5kup,-10.4
5lbq,-5.6
5mxv,-10.2
5n1v,-11.9
5vqs,-13.1
5vrp,-10.0
5ye8,-6.4
6dhc,-8.9
6dki,-12.3
6guf,-9.9
6i3u,-10.2
6ohd,-13.4
6p14,-10.5
